"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"/home/runner/work/ATF_Python_Demo/ATF_Python_Demo/tests/bdd/features/login.feature: Successful login with standard user","1052","test_successful_login_with_standard_user","tests.bdd","Mon Feb 23 13:58:48 UTC 2026","passed","Mon Feb 23 13:58:49 UTC 2026","","test_bdd_login","",""
"Позитивный тест: Добавление продукта (POST).","301","test_add_product_positive","tests.api","Mon Feb 23 13:58:47 UTC 2026","passed","Mon Feb 23 13:58:48 UTC 2026","","test_api_dummyjson","",""
"
    Параметризованный тест: проверяем, что метод generate_users
    возвращает список правильной длины.
    Мы запустим этот тест 3 раза: для 0, 1 и 5 пользователей.
    ","2","test_generate_users_count[5]","tests.unit","Mon Feb 23 13:58:52 UTC 2026","passed","Mon Feb 23 13:58:52 UTC 2026","","test_utils_mock","",""
"
    Unit тест с использованием Mock.
    Мы подменяем реальный метод faker.first_name и faker.job,
    чтобы проверить логику нашего класса UserGenerator, а не библиотеки Faker.
    ","3","test_generate_user_mocked","tests.unit","Mon Feb 23 13:58:52 UTC 2026","passed","Mon Feb 23 13:58:52 UTC 2026","","test_utils_mock","",""
"/home/runner/work/ATF_Python_Demo/ATF_Python_Demo/tests/bdd/features/login.feature: Unsuccessful login with wrong credentials","337","test_unsuccessful_login_with_wrong_credentials[standard_user-wrong_pass-Username and password do not match]","tests.bdd","Mon Feb 23 13:58:50 UTC 2026","passed","Mon Feb 23 13:58:50 UTC 2026","","test_bdd_login","",""
"Позитивный тест: Успешный логин.","285","test_login_standard_user_positive[chromium]","tests.ui","Mon Feb 23 13:58:50 UTC 2026","passed","Mon Feb 23 13:58:50 UTC 2026","","test_ui_saucedemo","",""
"
    Параметризованный тест: проверяем, что метод generate_users
    возвращает список правильной длины.
    Мы запустим этот тест 3 раза: для 0, 1 и 5 пользователей.
    ","1","test_generate_users_count[1]","tests.unit","Mon Feb 23 13:58:52 UTC 2026","passed","Mon Feb 23 13:58:52 UTC 2026","","test_utils_mock","",""
"Негативный тест: Авторизация с неверными данными.","248","test_login_unsuccessful_negative","tests.api","Mon Feb 23 13:58:48 UTC 2026","passed","Mon Feb 23 13:58:48 UTC 2026","","test_api_dummyjson","",""
"Позитивный асинхронный тест: Получение списка продуктов.","178","test_get_products_async_positive","tests.api","Mon Feb 23 13:58:48 UTC 2026","passed","Mon Feb 23 13:58:48 UTC 2026","","test_api_dummyjson","",""
"Негативный асинхронный тест: Продукт не найден.","148","test_product_not_found_async_negative","tests.api","Mon Feb 23 13:58:48 UTC 2026","passed","Mon Feb 23 13:58:48 UTC 2026","","test_api_dummyjson","",""
"/home/runner/work/ATF_Python_Demo/ATF_Python_Demo/tests/bdd/features/login.feature: Unsuccessful login with wrong credentials","299","test_unsuccessful_login_with_wrong_credentials[locked_out_user-secret_sauce-Sorry, this user has been locked out]","tests.bdd","Mon Feb 23 13:58:49 UTC 2026","passed","Mon Feb 23 13:58:50 UTC 2026","","test_bdd_login","",""
"Позитивный тест: Добавление товара в корзину.","347","test_add_to_cart_positive[chromium]","tests.ui","Mon Feb 23 13:58:50 UTC 2026","passed","Mon Feb 23 13:58:51 UTC 2026","","test_ui_saucedemo","",""
"Негативный тест: Заблокированный пользователь.","269","test_login_locked_out_user_negative[chromium]","tests.ui","Mon Feb 23 13:58:51 UTC 2026","passed","Mon Feb 23 13:58:51 UTC 2026","","test_ui_saucedemo","",""
"
    Параметризованный тест: проверяем, что метод generate_users
    возвращает список правильной длины.
    Мы запустим этот тест 3 раза: для 0, 1 и 5 пользователей.
    ","1","test_generate_users_count[0]","tests.unit","Mon Feb 23 13:58:52 UTC 2026","passed","Mon Feb 23 13:58:52 UTC 2026","","test_utils_mock","",""
"Негативный тест: Неверный пароль.","266","test_login_invalid_password_negative[chromium]","tests.ui","Mon Feb 23 13:58:51 UTC 2026","passed","Mon Feb 23 13:58:52 UTC 2026","","test_ui_saucedemo","",""
